docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100UA9K,E05527,24590,4010001078254,アウンコンサルティング株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 09:12,有価証券報告書－第26期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAE9,E39708,198A0,7010401155402,ＰｏｓｔＰｒｉｍｅ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 10:22,有価証券報告書－第5期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA1G,E02803,74340,9180001029707,株式会社オータケ,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 10:40,有価証券報告書－第72期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UACY,E00687,38920,1260001001078,株式会社岡山製紙,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 11:37,有価証券報告書－第183期(2023/06/01－2024/05/31),,,,,,1,1,1
S100U9OX,E00004,13760,5070001000715,カネコ種苗株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 13:04,有価証券報告書－第77期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA1Z,E04873,96510,2010401055029,日本プロセス株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 13:54,有価証券報告書－第57期(2023/06/01－2024/05/31),,,,,,1,1,1
S100U9F3,E02323,77130,8030001089741,シグマ光機株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 13:57,有価証券報告書－第49期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAHW,E01380,59670,9120001013625,ＴＯＮＥ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 13:57,有価証券報告書－第89期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA9V,E27305,14190,7010401057862,タマホーム株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 15:00,有価証券報告書－第26期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAJX,E38684,58850,1010001173009,株式会社ジーデップ・アドバンス,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 15:04,有価証券報告書－第9期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAJL,E04064,32360,8010401095795,株式会社プロパスト,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 15:08,有価証券報告書－第38期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAF3,E34960,44430,4010001120965,Ｓａｎｓａｎ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 15:23,有価証券報告書－第17期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UAGU,E31454,60470,5010401102810,株式会社Ｇｕｎｏｓｙ,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 15:24,有価証券報告書－第12期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA72,E36350,48850,3290001054096,室町ケミカル株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 15:32,有価証券報告書－第78期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UALH,E37627,192A0,4010001110066,インテグループ株式会社,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 16:29,有価証券報告書－第17期(2023/06/01－2024/05/31),,,,,,1,1,1
S100UA8C,E03988,88860,4180001016164,株式会社ウッドフレンズ,,010,030000,120,2023-06-01,2024-05-31,2024-08-28 16:30,有価証券報告書－第42期(2023/06/01－2024/05/31),,,,,,1,1,1
