docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,currentReportReason,parentDocID,opeDateTime,xbrlFlag,pdfFlag,csvFlag
S100TYEA,E04199,90780,2200001010785,株式会社エスライングループ本社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 09:01,有価証券報告書－第85期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TVMM,E03005,30790,9011601006203,ディーブイエックス株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 09:40,有価証券報告書－第38期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYFU,E04099,,7100001002441,長野電鉄株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 10:18,有価証券報告書－第159期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TY24,E01221,77460,2040001065334,岡本硝子株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 11:40,有価証券報告書－第78期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYOA,E01362,59150,2120001028927,株式会社駒井ハルテック,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 11:45,有価証券報告書－第95期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TU14,E32969,,6010001082997,日本住宅ローン株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 11:49,有価証券報告書－第21期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYHT,E00167,18070,5010401031200,株式会社佐藤渡辺,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 12:00,有価証券報告書－第93期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYFD,E38478,52530,4011001111450,カバー株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 12:00,有価証券報告書－第8期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYOW,E04704,46500,6430001008290,ＳＤエンターテイメント株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 12:08,有価証券報告書－第70期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TXXB,E35287,44840,6021001024617,ランサーズ株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 13:36,有価証券報告書－第16期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TXB7,E38031,,4010001226242,ロジスティード株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 15:34,有価証券報告書－第2期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TY7L,E31588,31360,3430001029991,株式会社エコノス,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 15:36,有価証券報告書－第49期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYU1,E35341,70780,3010401068418,ＩＮＣＬＵＳＩＶＥ株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 16:19,有価証券報告書－第17期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYXQ,E05544,24670,5010001067297,株式会社バルクホールディングス,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 16:22,有価証券報告書－第30期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYVL,E02527,80700,6010001008820,東京産業株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 16:39,有価証券報告書－第114期(2023/04/01－2024/03/31),,,,,,1,1,1
S100TYYR,E01569,63660,3020001018029,千代田化工建設株式会社,,010,030000,120,2023-04-01,2024-03-31,2024-07-01 16:53,有価証券報告書－第96期(2023/04/01－2024/03/31),,,,,,1,1,1
